,Datetime,Tweet Id,Text,Username,Location,Language,Source,Keyword
0,2022-03-13 11:16:05+00:00,1.50E+18,"@kailash29664024 @DanielSamsDolan Yes in 2016 

But his performance in Australia along with india series and WTC final was 👑

50+ wickets in a year with a ton and 35+ avg 

Root is nowhere near ash except that fraud 200 innings on a flat track !",seculariscringe,,en,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Fraud
1,2022-03-06 09:19:32+00:00,1.50E+18,@AlgoBoffin Better not to go near any company where there is a smell of Govt. of India or any State Govt. They are like reknown fraud Rana Kapoor.,profulla_sarma,"Guwahati, Assam",en,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Fraud
2,2022-02-25 09:07:15+00:00,1.50E+18,"It's my India,we all are one.Islamic ceremony near a Temple.Fraud leaders don't play divide and rule for your dirty politics.People never forgive you.
#DelhiRiots https://t.co/OoTaFRmwEs",sheikhjulfikar0,"Kolkata, West Bengal",en,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Fraud
3,2022-02-24 15:51:11+00:00,1.50E+18,@kparveen2005 Please report it to near by police station as soon as possible. If server of that fraud account is in India then ip address can be tracked.,vagabondram,,en,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Fraud
4,2022-02-23 18:57:05+00:00,1.50E+18,"Why dont we have sactions on India their may become a Point in the near Future to put Sanctions on India US Trade Relations for Stolen Weapons Hardware Fraud 
Selling S-400 missiles to India shines a spotlight on Russia's role: US https://t.co/kR7sUq3YiU",NewsRn77,Dinuba / Fresno CA USA ,en,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Fraud
5,2022-02-23 02:41:46+00:00,1.50E+18,"@Prahlad46783750 @flipkartsupport @Smartprix @BandBajaateRaho @_Kalyan_K @consaff @jagograhakjago Omg... Iphone fraud...@_Kalyan_K 
I think flipkart do big fraud with me, but my product in front of you only of 9k,&amp; you trapped in 40k scam😡😡😡🤣🤣🤣,,
Seriously @Flipkart😧
You will become a top shopping brand in India near future 😡😡",HansrajRaigar14,Jaipur,en,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Fraud
6,2022-02-22 18:19:57+00:00,1.50E+18,"110-only india,saudi arabia, America, england made group in  messenger&amp;laptops websites and devices watching magic.
2moro also no design.2moro return money and close offices.hahaha
Fake id u know urself
Dont take tension near people or TV or mobile.god done fraud.everybody know https://t.co/mNnwCcyoXR",AdnanAdy11,,en,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Fraud
7,2022-02-21 02:24:09+00:00,1.50E+18,"@RashmiS69466472 @SrinivasRangan6 @RanaAyyub @elopezgross @washingtonpost @wppressfreedom To be a fraud is not easy: a team of excellent accountant/lawyers/political support/press.... is needed in India. 

Rana is going to be in and out of court room in the near future, unless she escapes.",sunandbeach9,,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Fraud
8,2022-02-19 17:36:08+00:00,1.50E+18,"63-forgetting feeling voice-from sky and india,saudi arabia,America, england done fraud through tv,Internet, radio,mobile.........near people talking,word mixing",AdnanAdy11,,en,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Fraud
9,2022-02-19 07:15:08+00:00,1.49E+18,@jokebazz Ishan should be nowhere near Team India. Fraud keeping shreyash iyer away from the X1,woahsaurabh,,en,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Fraud
10,2022-02-18 04:32:54+00:00,1.49E+18,"#BIG Thousands of #Indianstudents became victims of #fraud in #Canada, three #colleges went bankrupt after taking millions of dollars in #fees Students Nearly 2000 And Fee Near 10 Lakh Rupee Per Person #JustinTrudeau #India #SikhStudent https://t.co/fXQcojKJd1",IndiplusNews,,en,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Fraud
11,2022-01-19 12:23:04+00:00,1.48E+18,thakur lodu should not be near even team bus of india in odi and t20 proper fraud,haloform_zn,,en,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Fraud
